case_id,user_id,conversation_id,turn_id,intent,intent_accuracy,operation_accuracy,query_constraint_f1,retrieval_facet_f1,ndcg_at_5,precision_at_5,correctness,faithfulness,personalization_adherence,completeness
USER-02-CONV-02-02-T04,USER-02,CONV-02-02,4,recommendation,1.0,1.0,1.0,0.5,0.9531235722535198,0.6,3.0,3.0,5.0,3.0
USER-02-CONV-02-02-T05,USER-02,CONV-02-02,5,accommodation_search,1.0,1.0,1.0,0.8,1.0,1.0,4.0,4.0,5.0,3.0
USER-02-CONV-02-02-T06,USER-02,CONV-02-02,6,transport,1.0,0.0,1.0,0.0,0.07911040148099861,0.0,5.0,5.0,5.0,4.0
USER-02-CONV-02-02-T07,USER-02,CONV-02-02,7,food_search,1.0,1.0,1.0,0.5,0.28215540892913504,0.4,4.0,3.0,4.0,3.0
USER-02-CONV-02-02-T08,USER-02,CONV-02-02,8,recommendation,0.0,1.0,1.0,0.8,0.6353998797572409,0.6,3.0,3.0,4.0,3.0
USER-02-CONV-02-02-T09,USER-02,CONV-02-02,9,travel_information,1.0,1.0,0.8,1.0,0.5958337834156117,0.0,4.0,5.0,3.0,1.0
USER-02-CONV-02-02-T10,USER-02,CONV-02-02,10,itinerary,1.0,1.0,1.0,0.0,0.6011626832363783,0.6,2.0,5.0,2.0,1.0
USER-03-C03-01-T01,USER-03,C03-01,1,travel_information,1.0,1.0,1.0,1.0,0.9250256699929476,1.0,4.0,4.0,5.0,3.0
USER-03-C03-01-T02,USER-03,C03-01,2,recommendation,1.0,1.0,1.0,1.0,0.5587673329568479,0.4,4.0,4.0,5.0,5.0
USER-03-C03-01-T03,USER-03,C03-01,3,itinerary,1.0,1.0,0.8,0.2222222222222222,0.6973515901634045,1.0,2.0,2.0,5.0,3.0
USER-03-C03-01-T04,USER-03,C03-01,4,food_search,1.0,1.0,1.0,0.6666666666666666,0.35997682191559643,0.2,3.0,3.0,5.0,3.0
USER-03-C03-01-T05,USER-03,C03-01,5,itinerary,1.0,1.0,1.0,1.0,0.6123883368301529,0.8,3.0,4.0,4.0,2.0
USER-03-C03-01-T06,USER-03,C03-01,6,recommendation,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0
USER-03-C03-01-T07,USER-03,C03-01,7,transport,1.0,0.0,1.0,0.0,0.7193106358959437,0.6,4.0,4.0,4.0,5.0
USER-03-C03-01-T08,USER-03,C03-01,8,recommendation,1.0,1.0,1.0,0.8,0.6809927256927567,0.8,4.0,4.0,5.0,3.0
USER-03-C03-01-T09,USER-03,C03-01,9,attraction_search,1.0,0.0,1.0,0.0,0.8005259896418395,0.4,5.0,5.0,5.0,4.0
USER-03-C03-01-T10,USER-03,C03-01,10,itinerary,1.0,1.0,1.0,0.0,0.8196294557259916,1.0,4.0,5.0,5.0,3.0
USER-03-C03-02-T01,USER-03,C03-02,1,food_search,0.0,0.0,1.0,1.0,0.6258236241410682,1.0,3.0,3.0,5.0,4.0
USER-03-C03-02-T02,USER-03,C03-02,2,recommendation,1.0,1.0,1.0,0.0,0.8027478044303603,1.0,2.0,2.0,5.0,3.0
USER-03-C03-02-T03,USER-03,C03-02,3,recommendation,0.0,0.0,1.0,0.8,0.72272653993353,1.0,4.0,3.0,5.0,4.0
USER-03-C03-02-T04,USER-03,C03-02,4,food_search,1.0,0.0,1.0,0.6666666666666666,0.5848900951528259,0.8,2.0,2.0,4.0,3.0
USER-03-C03-02-T05,USER-03,C03-02,5,itinerary,1.0,1.0,1.0,0.6666666666666665,0.5254743443638903,1.0,2.0,3.0,3.0,2.0
USER-03-C03-02-T06,USER-03,C03-02,6,transport,1.0,1.0,1.0,1.0,0.46358759915674425,0.8,3.0,2.0,4.0,3.0
USER-03-C03-02-T07,USER-03,C03-02,7,food_search,0.0,1.0,1.0,0.4,0.8539316501572937,0.0,4.0,5.0,1.0,1.0
USER-03-C03-02-T08,USER-03,C03-02,8,recommendation,0.0,1.0,0.5,0.28571428571428575,0.731219838408024,1.0,4.0,4.0,5.0,5.0
USER-03-C03-02-T09,USER-03,C03-02,9,itinerary,1.0,1.0,0.5714285714285715,0.4,0.23304241499414702,0.4,3.0,3.0,2.0,2.0
USER-03-C03-02-T10,USER-03,C03-02,10,travel_information,1.0,1.0,0.8,0.0,0.7416088716490667,0.8,3.0,3.0,4.0,2.0
USER-04-CONV-04-01-T01,USER-04,CONV-04-01,1,recommendation,1.0,1.0,0.6666666666666666,0.7499999999999999,0.5133621291304895,0.6,4.0,4.0,4.0,3.0
USER-04-CONV-04-01-T02,USER-04,CONV-04-01,2,recommendation,1.0,1.0,0.8,0.3076923076923077,0.503545758578481,1.0,4.0,4.0,4.0,3.0
USER-04-CONV-04-01-T03,USER-04,CONV-04-01,3,attraction_search,1.0,0.0,0.6666666666666666,0.4,0.9030970842075382,1.0,4.0,3.0,5.0,4.0
USER-04-CONV-04-01-T04,USER-04,CONV-04-01,4,itinerary,1.0,1.0,0.8,1.0,0.6336029464615485,0.6,3.0,3.0,4.0,3.0
USER-04-CONV-04-01-T05,USER-04,CONV-04-01,5,itinerary,1.0,1.0,0.75,0.5,0.6884243782136499,0.8,2.0,1.0,3.0,2.0
USER-04-CONV-04-01-T06,USER-04,CONV-04-01,6,transport,1.0,0.0,0.8,0.0,0.42278206568135995,0.8,4.0,3.0,5.0,5.0
USER-04-CONV-04-01-T07,USER-04,CONV-04-01,7,recommendation,1.0,1.0,0.8,0.3333333333333333,0.6817930109452877,0.8,4.0,4.0,5.0,3.0
USER-04-CONV-04-01-T08,USER-04,CONV-04-01,8,accommodation_search,1.0,1.0,0.5,0.0,0.8415580415114009,1.0,3.0,3.0,4.0,4.0
USER-04-CONV-04-01-T09,USER-04,CONV-04-01,9,food_search,1.0,0.0,0.6666666666666666,0.2857142857142857,0.9329445066320563,0.8,4.0,4.0,4.0,4.0
USER-04-CONV-04-01-T10,USER-04,CONV-04-01,10,itinerary,1.0,1.0,1.0,0.0,0.7942545059558663,1.0,2.0,3.0,3.0,2.0
USER-04-CONV-04-02-T01,USER-04,CONV-04-02,1,recommendation,1.0,1.0,0.6666666666666666,0.5,0.42278206568135995,0.6,4.0,4.0,4.0,2.0
USER-04-CONV-04-02-T02,USER-04,CONV-04-02,2,recommendation,1.0,1.0,0.8,0.0,0.6884243782136499,0.8,4.0,4.0,5.0,4.0
USER-04-CONV-04-02-T03,USER-04,CONV-04-02,3,attraction_search,1.0,0.0,0.5,0.0,1.0,0.4,4.0,3.0,5.0,4.0
USER-04-CONV-04-02-T04,USER-04,CONV-04-02,4,itinerary,1.0,1.0,0.8,0.28571428571428575,0.7925353824831283,0.8,3.0,4.0,4.0,3.0
USER-04-CONV-04-02-T05,USER-04,CONV-04-02,5,itinerary,1.0,1.0,0.8571428571428571,0.19999999999999998,0.6544698535819351,0.6,3.0,3.0,4.0,2.0
USER-04-CONV-04-02-T06,USER-04,CONV-04-02,6,transport,1.0,0.0,0.8,1.0,0.4645692798198105,0.4,3.0,2.0,4.0,2.0
USER-04-CONV-04-02-T07,USER-04,CONV-04-02,7,food_search,1.0,0.0,0.8,0.3333333333333333,0.8559427324555537,0.6,4.0,5.0,2.0,1.0
USER-04-CONV-04-02-T08,USER-04,CONV-04-02,8,recommendation,1.0,1.0,0.6666666666666665,0.6666666666666666,0.12511857440295474,0.2,3.0,3.0,5.0,4.0
USER-04-CONV-04-02-T09,USER-04,CONV-04-02,9,accommodation_search,1.0,1.0,0.8,0.4,0.6962036678227084,0.8,5.0,5.0,4.0,4.0
USER-04-CONV-04-02-T10,USER-04,CONV-04-02,10,itinerary,1.0,1.0,0.9090909090909091,0.3076923076923077,0.4231768569934854,0.4,2.0,2.0,3.0,2.0
